MAT_Item_1;MAT_Do_With_AdditionalTime;TS_Purchase;TIME_Do_With_AdditionalTime2;MAT_PA;TP_PA
Facial Products;slept earlier;Fast Food;played pokemon;2.1666666666666665;2.8333333333333335
Sunglasses And Body Wash;;Pre-Made Soup And Dips;Read a magazine;4.5;3.5
Multisport Socks;;Babysitting;went to a health food show at the convention centre;4.333333333333333;4.666666666666667
Facial Products;;Grocery Delivery;Internet Searches;4.0;3.1666666666666665
Personal Care;;Grocery Delivery;;4.0;4.333333333333333
Leggings;;Take-Out;spend more time with baby;3.1666666666666665;3.8333333333333335
Paint;;Took A Taxi;had more time to relax;3.1666666666666665;3.0
Hiking Gear;;Had Nails Done;Clean house  went for a coffee with a friend;3.8333333333333335;3.0
Dress And Top;;Indian Take-Out;spent time with her family;3.8333333333333335;3.6666666666666665
Swimsuit;;Ordered Take-Out;shopping;2.6666666666666665;4.5
Natural Clean;;Ordered Take-Out;getting ready for work;4.5;4.0
Clothes;spending time with kids;Paid Niece To Babysit Son;Gardening;3.3333333333333335;3.5
Sleeping Pillows;;Skin Serum (Instead Of Making);;3.1666666666666665;4.0
Manicure;was able to get out more and get things done  have more time for herself;Took A Taxi;Looked around  wasn't rushed;3.3333333333333335;3.5
Facewash;;Took A Taxi;got to restaurant earlier  more time to get ready;4.0;4.166666666666667
Cosmetics Facial;;Babysitting Service;bought clothes;3.8333333333333335;4.5
Shea Butter;;Takeout For Family;played with my children and spent time working on my garden;3.6666666666666665;3.5
Clothes For Work;;Sushi For Family;watched tv with kids;4.0;3.5
Salt Lamp;;Dog Training ;relaxed;3.4;4.166666666666667
Makeup;;Drycleaning;went for a walk;4.666666666666667;3.5
Earrings;;Grocery Delivered;Spending time with family;5.0;5.0
Shampoo And Socks;;Grocery Delivered;worked instead;3.3333333333333335;3.1666666666666665
Snowboard Goggles;;Housecleaning;I spent it relaxing;4.833333333333333;4.666666666666667
Facial Products;;Housecleaning;work;3.6666666666666665;4.666666666666667
Bras;;Housekeeping;Took kids to the park;3.5;4.333333333333333
Nail Polish And Hairspray;;Malaysian For Family;played with kids;3.6666666666666665;3.8333333333333335
Boots;;Breakfast For The Family;Went for a walk and slept;3.0;4.666666666666667
Kindle;;Breakfast Take-Out;went for a pedicure;4.5;4.666666666666667
T-Shirt And Plushie;;Sushi With Husband;Did other chores instead of dishes and cooking  anything else that needed to be done but I didn't have to add anything else onto that list. Was able to relax more too.;3.8333333333333335;3.8333333333333335
Face Cream;;Ordered Take-Out;realxed and watched netflix;4.5;3.5
Wine;;Ordered Take-Out;Hung out with my kids;3.6666666666666665;4.166666666666667
Leggings;;Neighbors Son Did Errand;laundry;3.8333333333333335;3.3333333333333335
Pajamas;;Parking Instead Of Bus;Spent time with my family;4.5;4.666666666666667
Detergent And Shampoo;;Produce Delivered;spent time with kids;4.333333333333333;3.6666666666666665
Shampoo;;Babysitter;party;2.5;3.6666666666666665
Bottle Of Wine;;Sushi Dinner To Celebrate;enjoyed time with family;4.833333333333333;5.0
Jacket;;Takeout;went for a run;4.0;4.0
Eyeliner And Lip Gloss;;Took A Taxi And Tipped;instead of rushing to the door and running out of time  was able to make sure she had everything with her and able to check to make sure she looked okay;2.5;4.666666666666667
Wine;;Cab Ride Downtown;spent it along the beach watching the sunset;3.8333333333333335;3.1666666666666665
Shoes;;Mediterranean Grill (Take-Out);no time saved;2.0;3.8333333333333335
Shirt;;Ordered Take-Out Sushi;bought a new car for wife;4.5;4.833333333333333
Books;;Food For A Picnic.;hung out at beach  played with kids  less rushed morning;3.1666666666666665;4.166666666666667
Computer Keyboard;;Babysitiing;pool and swimming;5.0;5.0
Shelf;Spend time with family;Babysitiing;spent it with friends  relaxed;4.166666666666667;5.0
Slowcooker;Chores;Bought Gas At A Closer Station;Resting at home;3.8333333333333335;4.0
Head Lamp;;Frozen Lunches For Work;instead of preparing food  I can read  enjoy spare time  and work on person projects other than work;2.5;3.5
Gym Bag;;Car Cleaning;errands;4.333333333333333;4.5
Shorts;;Chipotle Burritos And Drinks;Went to the park;5.0;5.0
Nutritional Supplement;;Housekeeping Service;watched TV;3.3333333333333335;4.666666666666667
Two Polo Shirts;;Lawnmowing For Me/Grandmother;went out for lunch with family;4.166666666666667;3.0
Belt;spent time with family;Maid Cleaning Service;ran errands  relaxed;4.0;2.8333333333333335
Two Pots;;Manicure/Pedicure;;4.0;3.6666666666666665
Lunch Box;;Breakfast Take-Out;spent time with friends;4.166666666666667;3.6666666666666665
Professional Book;relax. surf the internet and read books;Dinner For Family;read books;2.8333333333333335;4.166666666666667
Book;;Take-Out Food;relaxed;3.1666666666666665;3.3333333333333335
Shoes;;Online Hockey Tool;reading (to do some research);4.666666666666667;5.0
Kite;;Take Out;went out on lake in a canoe;3.6666666666666665;4.333333333333333
Outdoor Play Set;read some stories to son;Dinner For Family;nothing;1.6666666666666667;5.0
Clothes;Spending time with family;Food ;Spending time with kids and helped friends with a project;3.3333333333333335;3.8333333333333335
Essential Oils;;Premade Meals From Wholefoods;leisure activities;1.6666666666666667;3.3333333333333335
