,Happiness,spent_on_MATA,spent_on_Bills,spent_on_TSA,spent_on_EXPA
0,,,,,
1,7.0,350.0,1000.0,950.0,0.0
2,9.0,650.0,750.0,250.0,650.0
3,8.0,70.0,750.0,0.0,0.0
4,8.0,250.0,450.0,0.0,350.0
5,5.0,350.0,550.0,0.0,450.0
6,4.0,70.0,90.0,10.0,50.0
7,4.0,250.0,550.0,90.0,150.0
8,5.0,90.0,550.0,0.0,0.0
9,7.0,0.0,150.0,0.0,70.0
10,7.0,250.0,1000.0,0.0,350.0
11,7.0,0.0,750.0,0.0,0.0
12,7.0,250.0,650.0,0.0,90.0
13,7.0,50.0,30.0,0.0,50.0
14,8.0,70.0,90.0,0.0,0.0
15,9.0,150.0,650.0,650.0,250.0
16,7.0,70.0,750.0,0.0,250.0
17,4.0,0.0,50.0,0.0,0.0
18,7.0,70.0,850.0,30.0,0.0
19,8.0,30.0,550.0,0.0,150.0
20,8.0,450.0,450.0,0.0,450.0
21,4.0,70.0,950.0,150.0,90.0
22,9.0,1000.0,750.0,850.0,1000.0
23,5.0,250.0,850.0,150.0,0.0
24,7.0,250.0,550.0,0.0,250.0
25,8.0,50.0,550.0,0.0,90.0
26,6.0,30.0,10.0,0.0,50.0
27,9.0,650.0,1000.0,70.0,250.0
28,8.0,90.0,950.0,0.0,90.0
29,4.0,30.0,750.0,0.0,0.0
30,7.0,250.0,250.0,0.0,250.0
31,5.0,30.0,550.0,0.0,150.0
32,6.0,0.0,70.0,0.0,0.0
33,5.0,0.0,350.0,0.0,0.0
34,10.0,0.0,750.0,0.0,0.0
35,5.0,0.0,90.0,0.0,0.0
36,7.0,350.0,950.0,0.0,0.0
37,7.0,250.0,750.0,0.0,150.0
38,,0.0,,0.0,0.0
39,5.0,0.0,950.0,0.0,0.0
40,10.0,70.0,750.0,350.0,350.0
41,8.0,250.0,650.0,150.0,250.0
42,8.0,70.0,350.0,0.0,350.0
43,8.0,250.0,1000.0,250.0,350.0
44,7.0,50.0,750.0,0.0,90.0
45,,0.0,,0.0,0.0
46,6.0,50.0,90.0,0.0,50.0
47,7.0,90.0,650.0,0.0,90.0
48,8.0,250.0,250.0,0.0,0.0
49,6.0,350.0,650.0,150.0,250.0
50,7.0,250.0,550.0,70.0,450.0
51,9.0,350.0,950.0,250.0,550.0
52,6.0,850.0,750.0,850.0,950.0
53,9.0,50.0,750.0,30.0,30.0
54,6.0,250.0,550.0,150.0,250.0
55,10.0,350.0,750.0,150.0,250.0
56,7.0,70.0,650.0,0.0,150.0
57,3.0,250.0,950.0,150.0,250.0
58,8.0,70.0,350.0,0.0,70.0
59,7.0,0.0,450.0,0.0,0.0
60,6.0,30.0,250.0,30.0,50.0
61,5.0,150.0,450.0,90.0,0.0
62,5.0,150.0,1000.0,0.0,0.0
63,5.0,350.0,850.0,0.0,250.0
64,8.0,70.0,650.0,150.0,150.0
65,8.0,90.0,70.0,50.0,0.0
66,8.0,50.0,350.0,0.0,0.0
67,9.0,250.0,150.0,0.0,0.0
68,2.0,0.0,550.0,0.0,0.0
69,6.0,150.0,70.0,0.0,350.0
70,3.0,70.0,450.0,0.0,0.0
71,5.0,30.0,550.0,0.0,0.0
72,4.0,0.0,650.0,0.0,0.0
73,9.0,950.0,750.0,750.0,850.0
74,9.0,90.0,650.0,50.0,90.0
75,4.0,250.0,150.0,150.0,70.0
76,8.0,450.0,350.0,0.0,450.0
77,8.0,50.0,30.0,0.0,70.0
78,4.0,0.0,550.0,0.0,0.0
